gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	Endothelial ACKR1	Endothelial SEMA3G	Fibroblast C7	Fibroblast dS	Fibroblast eS	Lymphoid	Myeloid	PV MYH11	PV STEAP4	epi_Ciliated	epi_Ciliated LRG5	epi_Glandular	epi_Glandular_secretory	epi_Lumenal 1	epi_Lumenal 2	epi_Pre-ciliated	epi_SOX9	epi_SOX9_LGR5	epi_SOX9_prolif	uSMC
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.0	0.014	0.02	0.0	0.0	0.013	0.0	0.036	0.02	0.307	0.378	0.056	0.013	0.495	0.589	0.0	0.003	0.496	0.058	0.0
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	CYP21A2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.006	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	DHCR7	0.047	0.057	0.017	0.0	0.078	0.044	0.01	0.011	0.032	0.03	0.061	0.058	0.022	0.075	0.104	0.023	0.113	0.152	0.156	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	0.047	0.057	0.017	0.0	0.078	0.044	0.01	0.011	0.032	0.03	0.061	0.058	0.022	0.075	0.104	0.023	0.113	0.152	0.156	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	DHCR7	0.047	0.057	0.017	0.0	0.078	0.044	0.01	0.011	0.032	0.03	0.061	0.058	0.022	0.075	0.104	0.023	0.113	0.152	0.156	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	DHCR7	0.047	0.057	0.017	0.0	0.078	0.044	0.01	0.011	0.032	0.03	0.061	0.058	0.022	0.075	0.104	0.023	0.113	0.152	0.156	0.0
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	PTGR1	0.182	0.096	0.178	0.267	0.373	0.088	0.112	0.193	0.305	0.588	0.752	0.459	0.308	0.655	0.611	0.438	0.754	0.428	0.86	0.05
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	PTGR1	0.182	0.096	0.178	0.267	0.373	0.088	0.112	0.193	0.305	0.588	0.752	0.459	0.308	0.655	0.611	0.438	0.754	0.428	0.86	0.05
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	DAGLA	0.0	0.037	0.0	0.053	0.046	0.01	0.022	0.0	0.011	0.011	0.002	0.008	0.0	0.003	0.004	0.011	0.014	0.008	0.005	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	DAGLA	0.0	0.037	0.0	0.053	0.046	0.01	0.022	0.0	0.011	0.011	0.002	0.008	0.0	0.003	0.004	0.011	0.014	0.008	0.005	0.0
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	DAGLB	0.049	0.09	0.016	0.019	0.028	0.065	0.09	0.01	0.057	0.074	0.131	0.125	0.159	0.101	0.101	0.064	0.062	0.079	0.1	0.0
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	DAGLB	0.049	0.09	0.016	0.019	0.028	0.065	0.09	0.01	0.057	0.074	0.131	0.125	0.159	0.101	0.101	0.064	0.062	0.079	0.1	0.0
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	DHRS9	0.0	0.0	0.0	0.0	0.0	0.0	0.079	0.0	0.0	0.013	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	ALOX5	0.0	0.0	0.0	0.0	0.0	0.016	0.151	0.0	0.0	0.002	0.005	0.012	0.0	0.002	0.0	0.0	0.002	0.0	0.004	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5	0.0	0.0	0.0	0.0	0.0	0.016	0.151	0.0	0.0	0.002	0.005	0.012	0.0	0.002	0.0	0.0	0.002	0.0	0.004	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	ALOX5	0.0	0.0	0.0	0.0	0.0	0.016	0.151	0.0	0.0	0.002	0.005	0.012	0.0	0.002	0.0	0.0	0.002	0.0	0.004	0.0
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5	0.0	0.0	0.0	0.0	0.0	0.016	0.151	0.0	0.0	0.002	0.005	0.012	0.0	0.002	0.0	0.0	0.002	0.0	0.004	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	LTC4S	0.0	0.0	0.0	0.0	0.0	0.016	0.151	0.0	0.0	0.002	0.005	0.012	0.0	0.002	0.0	0.0	0.002	0.0	0.004	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	LTC4S	0.0	0.0	0.0	0.0	0.0	0.016	0.151	0.0	0.0	0.002	0.005	0.012	0.0	0.002	0.0	0.0	0.002	0.0	0.004	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	LTC4S	0.0	0.0	0.0	0.0	0.0	0.016	0.151	0.0	0.0	0.002	0.005	0.012	0.0	0.002	0.0	0.0	0.002	0.0	0.004	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	LTC4S	0.0	0.0	0.0	0.0	0.0	0.016	0.151	0.0	0.0	0.002	0.005	0.012	0.0	0.002	0.0	0.0	0.002	0.0	0.004	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	LTC4S	0.266	0.493	0.006	0.006	0.003	0.155	0.151	0.0	0.013	0.026	0.017	0.025	0.052	0.048	0.032	0.0	0.033	0.036	0.039	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS077A507B6	LTC4S	0.266	0.493	0.006	0.006	0.003	0.155	0.151	0.0	0.013	0.026	0.017	0.025	0.052	0.048	0.032	0.0	0.033	0.036	0.039	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	ALOX5AP	0.0	0.0	0.0	0.0	0.0	0.016	0.151	0.0	0.0	0.002	0.005	0.012	0.0	0.002	0.0	0.0	0.002	0.0	0.004	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5AP	0.0	0.0	0.0	0.0	0.0	0.016	0.151	0.0	0.0	0.002	0.005	0.012	0.0	0.002	0.0	0.0	0.002	0.0	0.004	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	ALOX5AP	0.0	0.0	0.0	0.0	0.0	0.016	0.151	0.0	0.0	0.002	0.005	0.012	0.0	0.002	0.0	0.0	0.002	0.0	0.004	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5AP	0.0	0.0	0.0	0.0	0.0	0.016	0.151	0.0	0.0	0.002	0.005	0.012	0.0	0.002	0.0	0.0	0.002	0.0	0.004	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	INHBA	0.0	0.012	0.038	0.005	0.016	0.008	0.012	0.036	0.073	0.0	0.004	0.0	0.008	0.043	0.019	0.0	0.0	0.005	0.0	0.02
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	INHBA	0.0	0.012	0.038	0.005	0.016	0.008	0.012	0.036	0.073	0.0	0.004	0.0	0.008	0.043	0.019	0.0	0.0	0.005	0.0	0.02
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBA	0.0	0.012	0.038	0.005	0.016	0.008	0.012	0.036	0.073	0.0	0.004	0.0	0.008	0.043	0.019	0.0	0.0	0.005	0.0	0.02
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBA	0.0	0.012	0.038	0.005	0.016	0.008	0.012	0.036	0.073	0.0	0.004	0.0	0.008	0.043	0.019	0.0	0.0	0.005	0.0	0.02
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	INHBA	0.0	0.012	0.038	0.005	0.016	0.008	0.012	0.036	0.073	0.0	0.004	0.0	0.008	0.043	0.019	0.0	0.0	0.005	0.0	0.02
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	INHBA	0.0	0.012	0.038	0.005	0.016	0.008	0.012	0.036	0.073	0.0	0.004	0.0	0.008	0.043	0.019	0.0	0.0	0.005	0.0	0.02
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC07611BF54	INHBA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC07323E253	INHBA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC04553E312	INHBA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0FA8B4931	INHBA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0BDA1C176	INHBA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0C1E0C4B7	INHBA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	INHBB	0.0	0.012	0.038	0.005	0.016	0.008	0.012	0.036	0.073	0.0	0.004	0.0	0.008	0.043	0.019	0.0	0.0	0.005	0.0	0.02
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	INHBB	0.0	0.012	0.038	0.005	0.016	0.008	0.012	0.036	0.073	0.0	0.004	0.0	0.008	0.043	0.019	0.0	0.0	0.005	0.0	0.02
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBB	0.0	0.012	0.038	0.005	0.016	0.008	0.012	0.036	0.073	0.0	0.004	0.0	0.008	0.043	0.019	0.0	0.0	0.005	0.0	0.02
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBB	0.0	0.012	0.038	0.005	0.016	0.008	0.012	0.036	0.073	0.0	0.004	0.0	0.008	0.043	0.019	0.0	0.0	0.005	0.0	0.02
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	INHBB	0.0	0.012	0.038	0.005	0.016	0.008	0.012	0.036	0.073	0.0	0.004	0.0	0.008	0.043	0.019	0.0	0.0	0.005	0.0	0.02
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	INHBB	0.0	0.012	0.038	0.005	0.016	0.008	0.012	0.036	0.073	0.0	0.004	0.0	0.008	0.043	0.019	0.0	0.0	0.005	0.0	0.02
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0AD71E0D3	INHBB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.002	0.008	0.017	0.0	0.0	0.0	0.008	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0300AB2DF	INHBB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.002	0.008	0.017	0.0	0.0	0.0	0.008	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC057B323A5	INHBB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.002	0.008	0.017	0.0	0.0	0.0	0.008	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC02D192370	INHBB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.002	0.008	0.017	0.0	0.0	0.0	0.008	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC08375F742	INHBB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.002	0.008	0.017	0.0	0.0	0.0	0.008	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0E62974F4	INHBB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.002	0.008	0.017	0.0	0.0	0.0	0.008	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC07611BF54	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC07323E253	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC04553E312	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0FA8B4931	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0BDA1C176	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0C1E0C4B7	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0AD71E0D3	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.002	0.008	0.017	0.0	0.0	0.0	0.008	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0300AB2DF	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.002	0.008	0.017	0.0	0.0	0.0	0.008	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC057B323A5	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.002	0.008	0.017	0.0	0.0	0.0	0.008	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC02D192370	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.002	0.008	0.017	0.0	0.0	0.0	0.008	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC08375F742	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.002	0.008	0.017	0.0	0.0	0.0	0.008	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0E62974F4	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.002	0.008	0.017	0.0	0.0	0.0	0.008	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0010C54C6	ALDH1A1	0.153	0.156	0.795	0.774	1.331	0.209	0.122	0.029	0.267	0.088	0.088	0.026	0.171	0.015	0.047	0.05	0.18	0.014	0.154	0.054
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC048F01E8D	ALDH1A1	0.153	0.156	0.795	0.774	1.331	0.209	0.122	0.029	0.267	0.088	0.088	0.026	0.171	0.015	0.047	0.05	0.18	0.014	0.154	0.054
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC06F5021B7	ALDH1A1	0.153	0.156	0.795	0.774	1.331	0.209	0.122	0.029	0.267	0.088	0.088	0.026	0.171	0.015	0.047	0.05	0.18	0.014	0.154	0.054
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC036F9AC3C	ALDH1A1	0.153	0.156	0.795	0.774	1.331	0.209	0.122	0.029	0.267	0.088	0.088	0.026	0.171	0.015	0.047	0.05	0.18	0.014	0.154	0.054
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC065AB1F5E	ALDH1A1	0.153	0.156	0.795	0.774	1.331	0.209	0.122	0.029	0.267	0.088	0.088	0.026	0.171	0.015	0.047	0.05	0.18	0.014	0.154	0.054
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC01AF691C1	ALDH1A1	0.153	0.156	0.795	0.774	1.331	0.209	0.122	0.029	0.267	0.088	0.088	0.026	0.171	0.015	0.047	0.05	0.18	0.014	0.154	0.054
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0A31C8D8B	ALDH1A1	0.153	0.156	0.795	0.774	1.331	0.209	0.122	0.029	0.267	0.088	0.088	0.026	0.171	0.015	0.047	0.05	0.18	0.014	0.154	0.054
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0A06D2C2D	ALDH1A1	0.153	0.156	0.795	0.774	1.331	0.209	0.122	0.029	0.267	0.088	0.088	0.026	0.171	0.015	0.047	0.05	0.18	0.014	0.154	0.054
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0E829C954	ALDH1A1	0.153	0.156	0.795	0.774	1.331	0.209	0.122	0.029	0.267	0.088	0.088	0.026	0.171	0.015	0.047	0.05	0.18	0.014	0.154	0.054
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.153	0.156	0.795	0.774	1.331	0.209	0.122	0.029	0.267	0.088	0.088	0.026	0.171	0.015	0.047	0.05	0.18	0.014	0.154	0.054
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC0C61DFEC5	ALDH1A2	0.017	0.031	0.275	0.617	1.097	0.156	0.118	0.007	0.153	0.091	0.058	0.007	0.033	0.029	0.012	0.074	0.03	0.014	0.019	0.028
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC03C7C010D	ALDH1A2	0.017	0.031	0.275	0.617	1.097	0.156	0.118	0.007	0.153	0.091	0.058	0.007	0.033	0.029	0.012	0.074	0.03	0.014	0.019	0.028
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC021B19C0E	ALDH1A2	0.017	0.031	0.275	0.617	1.097	0.156	0.118	0.007	0.153	0.091	0.058	0.007	0.033	0.029	0.012	0.074	0.03	0.014	0.019	0.028
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC061CCD0A0	ALDH1A2	0.017	0.031	0.275	0.617	1.097	0.156	0.118	0.007	0.153	0.091	0.058	0.007	0.033	0.029	0.012	0.074	0.03	0.014	0.019	0.028
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC066507DFB	ALDH1A2	0.017	0.031	0.275	0.617	1.097	0.156	0.118	0.007	0.153	0.091	0.058	0.007	0.033	0.029	0.012	0.074	0.03	0.014	0.019	0.028
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC000118AA2	ALDH1A2	0.017	0.031	0.275	0.617	1.097	0.156	0.118	0.007	0.153	0.091	0.058	0.007	0.033	0.029	0.012	0.074	0.03	0.014	0.019	0.028
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC0B7C148C8	ALDH1A2	0.017	0.031	0.275	0.617	1.097	0.156	0.118	0.007	0.153	0.091	0.058	0.007	0.033	0.029	0.012	0.074	0.03	0.014	0.019	0.028
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC0974AE49B	ALDH1A2	0.017	0.031	0.275	0.617	1.097	0.156	0.118	0.007	0.153	0.091	0.058	0.007	0.033	0.029	0.012	0.074	0.03	0.014	0.019	0.028
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC071BF7D12	ALDH1A2	0.017	0.031	0.275	0.617	1.097	0.156	0.118	0.007	0.153	0.091	0.058	0.007	0.033	0.029	0.012	0.074	0.03	0.014	0.019	0.028
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.017	0.031	0.275	0.617	1.097	0.156	0.118	0.007	0.153	0.091	0.058	0.007	0.033	0.029	0.012	0.074	0.03	0.014	0.019	0.028
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC03F7FB36A	ALDH1A3	0.076	0.041	0.124	0.714	0.148	0.126	0.039	0.009	0.071	0.15	0.127	0.052	0.062	0.106	0.038	0.071	0.025	0.131	0.017	0.037
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC0564402E8	ALDH1A3	0.076	0.041	0.124	0.714	0.148	0.126	0.039	0.009	0.071	0.15	0.127	0.052	0.062	0.106	0.038	0.071	0.025	0.131	0.017	0.037
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC039D8C2A7	ALDH1A3	0.076	0.041	0.124	0.714	0.148	0.126	0.039	0.009	0.071	0.15	0.127	0.052	0.062	0.106	0.038	0.071	0.025	0.131	0.017	0.037
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC0D32DC80C	ALDH1A3	0.076	0.041	0.124	0.714	0.148	0.126	0.039	0.009	0.071	0.15	0.127	0.052	0.062	0.106	0.038	0.071	0.025	0.131	0.017	0.037
