id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	rank	epi_Ciliated|epi_Ciliated	epi_Ciliated|epi_Pre-ciliated	epi_Ciliated|epi_SOX9_LGR5	epi_Ciliated|epi_SOX9_prolif	epi_Ciliated|epi_SOX9	epi_Ciliated|Fibroblast eS	epi_Ciliated|Lymphoid	epi_Ciliated|Myeloid	epi_Ciliated|Fibroblast C7	epi_Pre-ciliated|epi_Ciliated	epi_Pre-ciliated|epi_Pre-ciliated	epi_Pre-ciliated|epi_SOX9_LGR5	epi_Pre-ciliated|epi_SOX9_prolif	epi_Pre-ciliated|epi_SOX9	epi_Pre-ciliated|Fibroblast eS	epi_Pre-ciliated|Lymphoid	epi_Pre-ciliated|Myeloid	epi_Pre-ciliated|Fibroblast C7	epi_SOX9_LGR5|epi_Ciliated	epi_SOX9_LGR5|epi_Pre-ciliated	epi_SOX9_LGR5|epi_SOX9_LGR5	epi_SOX9_LGR5|epi_SOX9_prolif	epi_SOX9_LGR5|epi_SOX9	epi_SOX9_LGR5|Fibroblast eS	epi_SOX9_LGR5|Lymphoid	epi_SOX9_LGR5|Myeloid	epi_SOX9_LGR5|Fibroblast C7	epi_SOX9_prolif|epi_Ciliated	epi_SOX9_prolif|epi_Pre-ciliated	epi_SOX9_prolif|epi_SOX9_LGR5	epi_SOX9_prolif|epi_SOX9_prolif	epi_SOX9_prolif|epi_SOX9	epi_SOX9_prolif|Fibroblast eS	epi_SOX9_prolif|Lymphoid	epi_SOX9_prolif|Myeloid	epi_SOX9_prolif|Fibroblast C7	epi_SOX9|epi_Ciliated	epi_SOX9|epi_Pre-ciliated	epi_SOX9|epi_SOX9_LGR5	epi_SOX9|epi_SOX9_prolif	epi_SOX9|epi_SOX9	epi_SOX9|Fibroblast eS	epi_SOX9|Lymphoid	epi_SOX9|Myeloid	epi_SOX9|Fibroblast C7	Fibroblast eS|epi_Ciliated	Fibroblast eS|epi_Pre-ciliated	Fibroblast eS|epi_SOX9_LGR5	Fibroblast eS|epi_SOX9_prolif	Fibroblast eS|epi_SOX9	Fibroblast eS|Fibroblast eS	Fibroblast eS|Lymphoid	Fibroblast eS|Myeloid	Fibroblast eS|Fibroblast C7	Lymphoid|epi_Ciliated	Lymphoid|epi_Pre-ciliated	Lymphoid|epi_SOX9_LGR5	Lymphoid|epi_SOX9_prolif	Lymphoid|epi_SOX9	Lymphoid|Fibroblast eS	Lymphoid|Lymphoid	Lymphoid|Myeloid	Lymphoid|Fibroblast C7	Myeloid|epi_Ciliated	Myeloid|epi_Pre-ciliated	Myeloid|epi_SOX9_LGR5	Myeloid|epi_SOX9_prolif	Myeloid|epi_SOX9	Myeloid|Fibroblast eS	Myeloid|Lymphoid	Myeloid|Myeloid	Myeloid|Fibroblast C7	Fibroblast C7|epi_Ciliated	Fibroblast C7|epi_Pre-ciliated	Fibroblast C7|epi_SOX9_LGR5	Fibroblast C7|epi_SOX9_prolif	Fibroblast C7|epi_SOX9	Fibroblast C7|Fibroblast eS	Fibroblast C7|Lymphoid	Fibroblast C7|Myeloid	Fibroblast C7|Fibroblast C7	epi_Ciliated|epi_Lumenal 1	epi_Ciliated|epi_Lumenal 2	epi_Ciliated|epi_Glandular	epi_Ciliated|epi_Glandular_secretory	epi_Ciliated|Fibroblast dS	epi_Lumenal 1|epi_Ciliated	epi_Lumenal 1|epi_Lumenal 1	epi_Lumenal 1|epi_Lumenal 2	epi_Lumenal 1|epi_Glandular	epi_Lumenal 1|epi_Glandular_secretory	epi_Lumenal 1|Fibroblast dS	epi_Lumenal 1|Lymphoid	epi_Lumenal 1|epi_SOX9	epi_Lumenal 1|Fibroblast C7	epi_Lumenal 1|Myeloid	epi_Lumenal 2|epi_Ciliated	epi_Lumenal 2|epi_Lumenal 1	epi_Lumenal 2|epi_Lumenal 2	epi_Lumenal 2|epi_Glandular	epi_Lumenal 2|epi_Glandular_secretory	epi_Lumenal 2|Fibroblast dS	epi_Lumenal 2|Lymphoid	epi_Lumenal 2|epi_SOX9	epi_Lumenal 2|Fibroblast C7	epi_Lumenal 2|Myeloid	epi_Glandular|epi_Ciliated	epi_Glandular|epi_Lumenal 1	epi_Glandular|epi_Lumenal 2	epi_Glandular|epi_Glandular	epi_Glandular|epi_Glandular_secretory	epi_Glandular|Fibroblast dS	epi_Glandular|Lymphoid	epi_Glandular|epi_SOX9	epi_Glandular|Fibroblast C7	epi_Glandular|Myeloid	epi_Glandular_secretory|epi_Ciliated	epi_Glandular_secretory|epi_Lumenal 1	epi_Glandular_secretory|epi_Lumenal 2	epi_Glandular_secretory|epi_Glandular	epi_Glandular_secretory|epi_Glandular_secretory	epi_Glandular_secretory|Fibroblast dS	epi_Glandular_secretory|Lymphoid	epi_Glandular_secretory|epi_SOX9	epi_Glandular_secretory|Fibroblast C7	epi_Glandular_secretory|Myeloid	Fibroblast dS|epi_Ciliated	Fibroblast dS|epi_Lumenal 1	Fibroblast dS|epi_Lumenal 2	Fibroblast dS|epi_Glandular	Fibroblast dS|epi_Glandular_secretory	Fibroblast dS|Fibroblast dS	Fibroblast dS|Lymphoid	Fibroblast dS|epi_SOX9	Fibroblast dS|Fibroblast C7	Fibroblast dS|Myeloid	Lymphoid|epi_Lumenal 1	Lymphoid|epi_Lumenal 2	Lymphoid|epi_Glandular	Lymphoid|epi_Glandular_secretory	Lymphoid|Fibroblast dS	epi_SOX9|epi_Lumenal 1	epi_SOX9|epi_Lumenal 2	epi_SOX9|epi_Glandular	epi_SOX9|epi_Glandular_secretory	epi_SOX9|Fibroblast dS	Fibroblast C7|epi_Lumenal 1	Fibroblast C7|epi_Lumenal 2	Fibroblast C7|epi_Glandular	Fibroblast C7|epi_Glandular_secretory	Fibroblast C7|Fibroblast dS	Myeloid|epi_Lumenal 1	Myeloid|epi_Lumenal 2	Myeloid|epi_Glandular	Myeloid|epi_Glandular_secretory	Myeloid|Fibroblast dS
CPI-CS04A0AEE4C	Glutamate_byGLS_and_SLC1A2_GRM5	complex:Glutamate_byGLS_and_SLC1A2	simple:P41594		GRM5	True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.006										0.06																																																																																																																																																		
CPI-SC0C644006E	WNT9A_FZD10_LRP5	simple:O14904	complex:FZD10_LRP5	WNT9A		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.006													0.032																																																																																																																																															
CPI-SC00A8BC9AA	WNT11_FZD10_LRP6	simple:O96014	complex:FZD10_LRP6	WNT11		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.006													0.093																																																																																																																																															
CPI-SS0EE09A201	CDH2_CDH2	simple:P19022	simple:P19022	CDH2	CDH2	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.006																																																			0.224																																																																																																									
CPI-CS087E1C654	LipoxinA4_byALOX5_CYSLTR1	complex:LipoxinA4_byALOX5	simple:Q9Y271		CYSLTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.006																																																																							0.202																																																																																					
CPI-SC06EFB9697	WNT7B_FZD8_LRP5	simple:P56706	complex:FZD8_LRP5	WNT7B		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.006																																																																																																																							0.113																																					
CPI-SS04A5D6B6F	DLL1_NOTCH1	simple:O00548	simple:P46531	DLL1	NOTCH1	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.006																																																																																																							0.135																																																					
CPI-SS0B7D22073	FGL1_LAG3	simple:Q08830	simple:P18627	FGL1	LAG3	True	False	False	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.006																																																																																																							0.177																																																					
CPI-SS0E0D00210	LRRC4B_PTPRD	simple:Q9NT99	simple:P23468	LRRC4B	PTPRD	False	False	True	curated	False	Ligand-Receptor	Signaling by Leucine Rich Repeat And Fibronectin	0.006																																																			0.088																																																																																																									
CPI-SS083239CEC	WNT6_SFRP4	simple:Q9Y6F9	simple:Q6FHJ7	WNT6	SFRP4	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.006																																																			2.038																																																																																																									
CPI-SC0BFCEDA56	WNT7B_FZD7_LRP6	simple:P56706	complex:FZD7_LRP6	WNT7B		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.006																																																																																																																												0.089																																
CPI-SS0730D1EF3	CNTN1_MCAM	simple:Q12860	simple:P43121	CNTN1	MCAM	False	False	False	curated	False	Adhesion-Adhesion		0.006																																																	0.197																																																																																																											
CPI-SS0D5DBB634	EFNA3_EPHA7	simple:P52797	simple:Q15375	EFNA3	EPHA7	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.006														0.052																																																																																																																																														
CPI-CS0891F5216	LeukotrieneC4_byLTC4S_CYSLTR1	complex:LeukotrieneC4_byLTC4S	simple:Q9Y271		CYSLTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Lipoxin/Leukotriene	0.006																																																																							0.202																																																																																					
CPI-SS093707FE0	CLSTN2_NRXN2	simple:Q9H4D0	simple:P58401	CLSTN2	NRXN2	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.006																																																			0.186																																																																																																									
CPI-SC0E8C3A996	COL9A1_integrin_a11b1_complex	simple:P20849	complex:integrin_a11b1_complex	COL9A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.006																											0.215																																																																																																																																	
CPI-CS00BBBEE62	Glutamate_byGLS_and_SLC1A2_GRIA2	complex:Glutamate_byGLS_and_SLC1A2	simple:P42262		GRIA2	True	False	True	curated	False	Ligand-Receptor	Signaling by Glutamate	0.006												0.052																																																																																																																																																
CPI-SS0A76E2CE9	CCL15_CCR1	simple:Q16663	simple:P32246	CCL15	CCR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.006								0.304																																																																																																																																																				
CPI-SS0FDAB7BA8	CXCL10_DPP4	simple:P02778	simple:P27487	CXCL10	DPP4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.006																																																																																																																																																	0.644											
CPI-SS0DBFB8BEA	CCL2_ACKR1	simple:P13500	simple:Q16570	CCL2	ACKR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.006																																																																								0.304																																																																																				
CPI-SS01072357C	WNT11_FRZB	simple:O96014	simple:Q92765	WNT11	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.006																		0.266																																																																																																																																										
CPI-SS0BD98A044	WNT6_FRZB	simple:Q9Y6F9	simple:Q92765	WNT6	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.006																																																						0.227																																																																																																						
CPI-SS03BC3A729	WNT7B_FRZB	simple:P56706	simple:Q92765	WNT7B	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.006																																																																																																																													0.257																															
CPI-SS0EAB03260	CD1D_LILRB2	simple:P15813	simple:Q8N423	CD1D	LILRB2	False	False	True	curated	False	Ligand-Receptor		0.006																																																																							0.31																																																																																					
CPI-SC042468412	WNT7B_FZD2_LRP6	simple:P56706	complex:FZD2_LRP6	WNT7B		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.006																																																																																																																												0.091																																
CPI-SC0ADD9F3A1	WNT7B_FZD2_LRP5	simple:P56706	complex:FZD2_LRP5	WNT7B		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.006																																																																																																																												0.091																																
CPI-SS0EBBBD522	WNT9A_FRZB	simple:O14904	simple:Q92765	WNT9A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.006																		0.205																																																																																																																																										
CPI-SS0CF0A8519	NLGN1_NRXN2	simple:Q8N2Q7	simple:P58401	NLGN1	NRXN2	False	False	False	curated	False	Ligand-Receptor	Signaling by Neuroligin	0.006																																																			0.154																																																																																																									
CPI-SC07B51ACC4	WNT2B_FZD10_LRP6	simple:Q93097	complex:FZD10_LRP6	WNT2B		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.013																						0.069																		0.051																																																																																																																				
CPI-SC0D837BE1B	WNT11_FZD7_LRP6	simple:O96014	complex:FZD7_LRP6	WNT11		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.013													0.098	0.098																																																																																																																																														
CPI-SC0C6A402E9	WNT9A_FZD7_LRP6	simple:O14904	complex:FZD7_LRP6	WNT9A		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.013													0.037	0.037																																																																																																																																														
CPI-SC0EE5FCF62	WNT5A_FZD10_LRP6	simple:P41221	complex:FZD10_LRP6	WNT5A		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.013																															0.123																		0.314																																																																																																											
CPI-SS0A7E3A1AF	C5_C5AR2	simple:P01031	simple:Q9P296	C5	C5AR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Complement	0.013																															0.029	0.035																																																																																																																												
CPI-SS08DA48A5A	CCL3_CCR1	simple:P10147	simple:P32246	CCL3	CCR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.013																																																														0.638									1.287																																																																																					
CPI-SS0822AEF5F	PTPRC_MRC1	simple:P08575	simple:P22897	PTPRC	MRC1	False	False	True	curated	False	Receptor-Receptor		0.013																																																														0.989									0.764																																																																																					
CPI-SS0CBC7840D	PTPRC_CD22	simple:P08575	simple:P20273	PTPRC	CD22	False	False	True	curated	False	Receptor-Receptor		0.013																																																														0.818									0.593																																																																																					
CPI-SC069FF84F5	SPP1_integrin_a9b1_complex	simple:P10451	complex:integrin_a9b1_complex	SPP1		True	False	False	curated	True	Ligand-Receptor	Adhesion by Osteopontin	0.013						0.192																																																															0.45																																																																																							
CPI-SS06E797E50	EFNB1_EPHB2	simple:P98172	simple:P29323	EFNB1	EPHB2	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.013																					0.065																											0.115																																																																																																												
CPI-SS068ACD209	EFNA5_EPHB2	simple:P52803	simple:P29323	EFNA5	EPHB2	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.013												0.058																																				0.061																																																																																																												
CPI-SS042439610	WNT9A_SFRP4	simple:O14904	simple:Q6FHJ7	WNT9A	SFRP4	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.013															2.016		0.335																																																																																																																																											
CPI-SC04590CF27	WNT11_FZD8_LRP5	simple:O96014	complex:FZD8_LRP5	WNT11		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.013											0.094		0.093																																																																																																																																															
CPI-SC0A81AF307	WNT2B_FZD10_LRP5	simple:Q93097	complex:FZD10_LRP5	WNT2B		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.013																						0.069																		0.051																																																																																																																				
CPI-SC042177446	PDGFD_PDGFR_complex	simple:Q9GZP0	complex:PDGFR_complex	PDGFD		True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	0.013																																																			0.402			0.284																																																																																																						
CPI-SC00BD4551E	WNT2_FZD10_LRP5	simple:P09544	complex:FZD10_LRP5	WNT2		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.013																																																	0.278																											0.116																																																																																
CPI-SC0F73E951B	WNT6_FZD7_LRP6	simple:Q9Y6F9	complex:FZD7_LRP6	WNT6		True	False	False	curated	False	Ligand-Receptor	Signaling by WNT	0.013																																																	0.059	0.059																																																																																																										
CPI-SS0A021DB6E	CCL5_CCR1	simple:P13501	simple:P32246	CCL5	CCR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.013																																																														1.157									0.382																																																																																					
CPI-CS080C76630	ProstaglandinE2_byPTGES_PTGER3	complex:ProstaglandinE2_byPTGES	simple:P43115		PTGER3	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.013																											0.177									0.14																																																																																																																								
