gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	Endothelial ACKR1	Endothelial SEMA3G	Fibroblast C7	Fibroblast dS	Fibroblast eS	Lymphoid	Myeloid	PV MYH11	PV STEAP4	epi_Ciliated	epi_Ciliated LRG5	epi_Glandular	epi_Glandular_secretory	epi_Lumenal 1	epi_Lumenal 2	epi_Pre-ciliated	epi_SOX9	epi_SOX9_LGR5	epi_SOX9_prolif	uSMC
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	DHCR7	0.06	0.09	0.02	0.0	0.11	0.06	0.02	0.01	0.04	0.07	0.16	0.13	0.04	0.17	0.18	0.061	0.28	0.29	0.48	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	0.06	0.09	0.02	0.0	0.11	0.06	0.02	0.01	0.04	0.07	0.16	0.13	0.04	0.17	0.18	0.061	0.28	0.29	0.48	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	DHCR7	0.06	0.09	0.02	0.0	0.11	0.06	0.02	0.01	0.04	0.07	0.16	0.13	0.04	0.17	0.18	0.061	0.28	0.29	0.48	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	DHCR7	0.06	0.09	0.02	0.0	0.11	0.06	0.02	0.01	0.04	0.07	0.16	0.13	0.04	0.17	0.18	0.061	0.28	0.29	0.48	0.0
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	PTGR1	0.22	0.11	0.14	0.32	0.45	0.09	0.16	0.14	0.32	0.65	0.9	0.56	0.45	0.69	0.73	0.653	0.8	0.56	0.84	0.04
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	PTGR1	0.22	0.11	0.14	0.32	0.45	0.09	0.16	0.14	0.32	0.65	0.9	0.56	0.45	0.69	0.73	0.653	0.8	0.56	0.84	0.04
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	DAGLA	0.0	0.05	0.0	0.06	0.06	0.02	0.05	0.0	0.02	0.03	0.01	0.02	0.0	0.01	0.01	0.041	0.03	0.02	0.03	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	DAGLA	0.0	0.05	0.0	0.06	0.06	0.02	0.05	0.0	0.02	0.03	0.01	0.02	0.0	0.01	0.01	0.041	0.03	0.02	0.03	0.0
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	DAGLB	0.08	0.13	0.01	0.03	0.04	0.06	0.13	0.01	0.07	0.15	0.34	0.2	0.23	0.19	0.26	0.143	0.17	0.17	0.28	0.0
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	DAGLB	0.08	0.13	0.01	0.03	0.04	0.06	0.13	0.01	0.07	0.15	0.34	0.2	0.23	0.19	0.26	0.143	0.17	0.17	0.28	0.0
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	DHRS9	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	ALOX5	0.0	0.0	0.0	0.0	0.0	0.01	0.14	0.0	0.0	0.01	0.02	0.02	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5	0.0	0.0	0.0	0.0	0.0	0.01	0.14	0.0	0.0	0.01	0.02	0.02	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	ALOX5	0.0	0.0	0.0	0.0	0.0	0.01	0.14	0.0	0.0	0.01	0.02	0.02	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.0
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5	0.0	0.0	0.0	0.0	0.0	0.01	0.14	0.0	0.0	0.01	0.02	0.02	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	LTC4S	0.0	0.0	0.0	0.0	0.0	0.01	0.14	0.0	0.0	0.01	0.02	0.02	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	LTC4S	0.0	0.0	0.0	0.0	0.0	0.01	0.14	0.0	0.0	0.01	0.02	0.02	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	LTC4S	0.0	0.0	0.0	0.0	0.0	0.01	0.14	0.0	0.0	0.01	0.02	0.02	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	LTC4S	0.0	0.0	0.0	0.0	0.0	0.01	0.14	0.0	0.0	0.01	0.02	0.02	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	LTC4S	0.29	0.39	0.01	0.01	0.01	0.1	0.14	0.0	0.01	0.06	0.06	0.05	0.12	0.07	0.08	0.0	0.08	0.09	0.15	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS077A507B6	LTC4S	0.29	0.39	0.01	0.01	0.01	0.1	0.14	0.0	0.01	0.06	0.06	0.05	0.12	0.07	0.08	0.0	0.08	0.09	0.15	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	ALOX5AP	0.0	0.0	0.0	0.0	0.0	0.01	0.14	0.0	0.0	0.01	0.02	0.02	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5AP	0.0	0.0	0.0	0.0	0.0	0.01	0.14	0.0	0.0	0.01	0.02	0.02	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	ALOX5AP	0.0	0.0	0.0	0.0	0.0	0.01	0.14	0.0	0.0	0.01	0.02	0.02	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5AP	0.0	0.0	0.0	0.0	0.0	0.01	0.14	0.0	0.0	0.01	0.02	0.02	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	INHBA	0.0	0.01	0.02	0.01	0.02	0.01	0.02	0.03	0.05	0.0	0.02	0.0	0.02	0.06	0.04	0.0	0.0	0.01	0.0	0.01
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	INHBA	0.0	0.01	0.02	0.01	0.02	0.01	0.02	0.03	0.05	0.0	0.02	0.0	0.02	0.06	0.04	0.0	0.0	0.01	0.0	0.01
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBA	0.0	0.01	0.02	0.01	0.02	0.01	0.02	0.03	0.05	0.0	0.02	0.0	0.02	0.06	0.04	0.0	0.0	0.01	0.0	0.01
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBA	0.0	0.01	0.02	0.01	0.02	0.01	0.02	0.03	0.05	0.0	0.02	0.0	0.02	0.06	0.04	0.0	0.0	0.01	0.0	0.01
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	INHBA	0.0	0.01	0.02	0.01	0.02	0.01	0.02	0.03	0.05	0.0	0.02	0.0	0.02	0.06	0.04	0.0	0.0	0.01	0.0	0.01
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	INHBA	0.0	0.01	0.02	0.01	0.02	0.01	0.02	0.03	0.05	0.0	0.02	0.0	0.02	0.06	0.04	0.0	0.0	0.01	0.0	0.01
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC07611BF54	INHBA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC07323E253	INHBA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC04553E312	INHBA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0FA8B4931	INHBA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0BDA1C176	INHBA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0C1E0C4B7	INHBA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	INHBB	0.0	0.01	0.02	0.01	0.02	0.01	0.02	0.03	0.05	0.0	0.02	0.0	0.02	0.06	0.04	0.0	0.0	0.01	0.0	0.01
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	INHBB	0.0	0.01	0.02	0.01	0.02	0.01	0.02	0.03	0.05	0.0	0.02	0.0	0.02	0.06	0.04	0.0	0.0	0.01	0.0	0.01
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBB	0.0	0.01	0.02	0.01	0.02	0.01	0.02	0.03	0.05	0.0	0.02	0.0	0.02	0.06	0.04	0.0	0.0	0.01	0.0	0.01
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBB	0.0	0.01	0.02	0.01	0.02	0.01	0.02	0.03	0.05	0.0	0.02	0.0	0.02	0.06	0.04	0.0	0.0	0.01	0.0	0.01
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	INHBB	0.0	0.01	0.02	0.01	0.02	0.01	0.02	0.03	0.05	0.0	0.02	0.0	0.02	0.06	0.04	0.0	0.0	0.01	0.0	0.01
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	INHBB	0.0	0.01	0.02	0.01	0.02	0.01	0.02	0.03	0.05	0.0	0.02	0.0	0.02	0.06	0.04	0.0	0.0	0.01	0.0	0.01
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0AD71E0D3	INHBB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.02	0.03	0.0	0.0	0.0	0.02	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0300AB2DF	INHBB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.02	0.03	0.0	0.0	0.0	0.02	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC057B323A5	INHBB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.02	0.03	0.0	0.0	0.0	0.02	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC02D192370	INHBB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.02	0.03	0.0	0.0	0.0	0.02	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC08375F742	INHBB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.02	0.03	0.0	0.0	0.0	0.02	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0E62974F4	INHBB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.02	0.03	0.0	0.0	0.0	0.02	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC07611BF54	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC07323E253	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC04553E312	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0FA8B4931	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0BDA1C176	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0C1E0C4B7	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0AD71E0D3	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.02	0.03	0.0	0.0	0.0	0.02	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0300AB2DF	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.02	0.03	0.0	0.0	0.0	0.02	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC057B323A5	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.02	0.03	0.0	0.0	0.0	0.02	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC02D192370	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.02	0.03	0.0	0.0	0.0	0.02	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC08375F742	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.02	0.03	0.0	0.0	0.0	0.02	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0E62974F4	INHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.02	0.03	0.0	0.0	0.0	0.02	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0010C54C6	ALDH1A1	0.2	0.17	0.47	0.63	0.9	0.14	0.14	0.03	0.21	0.14	0.14	0.03	0.19	0.05	0.08	0.122	0.25	0.03	0.29	0.03
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC048F01E8D	ALDH1A1	0.2	0.17	0.47	0.63	0.9	0.14	0.14	0.03	0.21	0.14	0.14	0.03	0.19	0.05	0.08	0.122	0.25	0.03	0.29	0.03
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC06F5021B7	ALDH1A1	0.2	0.17	0.47	0.63	0.9	0.14	0.14	0.03	0.21	0.14	0.14	0.03	0.19	0.05	0.08	0.122	0.25	0.03	0.29	0.03
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC036F9AC3C	ALDH1A1	0.2	0.17	0.47	0.63	0.9	0.14	0.14	0.03	0.21	0.14	0.14	0.03	0.19	0.05	0.08	0.122	0.25	0.03	0.29	0.03
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC065AB1F5E	ALDH1A1	0.2	0.17	0.47	0.63	0.9	0.14	0.14	0.03	0.21	0.14	0.14	0.03	0.19	0.05	0.08	0.122	0.25	0.03	0.29	0.03
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC01AF691C1	ALDH1A1	0.2	0.17	0.47	0.63	0.9	0.14	0.14	0.03	0.21	0.14	0.14	0.03	0.19	0.05	0.08	0.122	0.25	0.03	0.29	0.03
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0A31C8D8B	ALDH1A1	0.2	0.17	0.47	0.63	0.9	0.14	0.14	0.03	0.21	0.14	0.14	0.03	0.19	0.05	0.08	0.122	0.25	0.03	0.29	0.03
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0A06D2C2D	ALDH1A1	0.2	0.17	0.47	0.63	0.9	0.14	0.14	0.03	0.21	0.14	0.14	0.03	0.19	0.05	0.08	0.122	0.25	0.03	0.29	0.03
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0E829C954	ALDH1A1	0.2	0.17	0.47	0.63	0.9	0.14	0.14	0.03	0.21	0.14	0.14	0.03	0.19	0.05	0.08	0.122	0.25	0.03	0.29	0.03
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.2	0.17	0.47	0.63	0.9	0.14	0.14	0.03	0.21	0.14	0.14	0.03	0.19	0.05	0.08	0.122	0.25	0.03	0.29	0.03
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC0C61DFEC5	ALDH1A2	0.02	0.04	0.18	0.57	0.89	0.15	0.15	0.01	0.14	0.13	0.14	0.01	0.07	0.05	0.03	0.143	0.06	0.03	0.06	0.02
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC03C7C010D	ALDH1A2	0.02	0.04	0.18	0.57	0.89	0.15	0.15	0.01	0.14	0.13	0.14	0.01	0.07	0.05	0.03	0.143	0.06	0.03	0.06	0.02
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC021B19C0E	ALDH1A2	0.02	0.04	0.18	0.57	0.89	0.15	0.15	0.01	0.14	0.13	0.14	0.01	0.07	0.05	0.03	0.143	0.06	0.03	0.06	0.02
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC061CCD0A0	ALDH1A2	0.02	0.04	0.18	0.57	0.89	0.15	0.15	0.01	0.14	0.13	0.14	0.01	0.07	0.05	0.03	0.143	0.06	0.03	0.06	0.02
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC066507DFB	ALDH1A2	0.02	0.04	0.18	0.57	0.89	0.15	0.15	0.01	0.14	0.13	0.14	0.01	0.07	0.05	0.03	0.143	0.06	0.03	0.06	0.02
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC000118AA2	ALDH1A2	0.02	0.04	0.18	0.57	0.89	0.15	0.15	0.01	0.14	0.13	0.14	0.01	0.07	0.05	0.03	0.143	0.06	0.03	0.06	0.02
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC0B7C148C8	ALDH1A2	0.02	0.04	0.18	0.57	0.89	0.15	0.15	0.01	0.14	0.13	0.14	0.01	0.07	0.05	0.03	0.143	0.06	0.03	0.06	0.02
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC0974AE49B	ALDH1A2	0.02	0.04	0.18	0.57	0.89	0.15	0.15	0.01	0.14	0.13	0.14	0.01	0.07	0.05	0.03	0.143	0.06	0.03	0.06	0.02
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC071BF7D12	ALDH1A2	0.02	0.04	0.18	0.57	0.89	0.15	0.15	0.01	0.14	0.13	0.14	0.01	0.07	0.05	0.03	0.143	0.06	0.03	0.06	0.02
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.02	0.04	0.18	0.57	0.89	0.15	0.15	0.01	0.14	0.13	0.14	0.01	0.07	0.05	0.03	0.143	0.06	0.03	0.06	0.02
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC03F7FB36A	ALDH1A3	0.09	0.05	0.1	0.53	0.14	0.1	0.05	0.01	0.07	0.19	0.27	0.11	0.12	0.16	0.08	0.143	0.08	0.2	0.05	0.02
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC0564402E8	ALDH1A3	0.09	0.05	0.1	0.53	0.14	0.1	0.05	0.01	0.07	0.19	0.27	0.11	0.12	0.16	0.08	0.143	0.08	0.2	0.05	0.02
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC039D8C2A7	ALDH1A3	0.09	0.05	0.1	0.53	0.14	0.1	0.05	0.01	0.07	0.19	0.27	0.11	0.12	0.16	0.08	0.143	0.08	0.2	0.05	0.02
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC0D32DC80C	ALDH1A3	0.09	0.05	0.1	0.53	0.14	0.1	0.05	0.01	0.07	0.19	0.27	0.11	0.12	0.16	0.08	0.143	0.08	0.2	0.05	0.02
