gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	endo.Arterial	endo.Venous	epi.Ciliated	epi.Glandular	epi.Glandular_secretory	epi.Glandular_secretory_FGF7	epi.Luminal	epi.SOX9_basalis	epi.SOX9_functionalis_I	epi.SOX9_functionalis_II	epi.SOX9_luminal	epi.preCiliated	epi.preGlandular	epi.preLuminal	immune.eM1	immune.eM2	immune.uNK1	immune.uNK3	mes.Fibroblast_basalis	mes.dStromal_early	mes.dStromal_late	mes.dStromal_mid	mes.ePV_1a	mes.ePV_1b	mes.ePV_2	mes.eStromal	mes.eStromal_MMPs	mes.uSMCs
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.006	0.004	0.34	0.05	0.0	0.0	0.288	0.0	0.002	0.0	0.116	0.021	0.058	0.608	0.002	0.0	0.012	0.006	0.003	0.002	0.0	0.006	0.0	0.004	0.004	0.0	0.0	0.008
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	CYP21A2	0.002	0.004	0.0	0.002	0.0	0.0	0.0	0.0	0.004	0.002	0.002	0.005	0.0	0.004	0.0	0.0	0.002	0.0	0.01	0.0	0.002	0.016	0.008	0.006	0.002	0.0	0.006	0.002
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	DHCR7	0.128	0.154	0.084	0.036	0.072	0.018	0.06	0.122	0.262	0.228	0.32	0.135	0.28	0.206	0.036	0.03	0.118	0.074	0.034	0.016	0.016	0.024	0.038	0.026	0.026	0.07	0.012	0.034
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	0.128	0.154	0.084	0.036	0.072	0.018	0.06	0.122	0.262	0.228	0.32	0.135	0.28	0.206	0.036	0.03	0.118	0.074	0.034	0.016	0.016	0.024	0.038	0.026	0.026	0.07	0.012	0.034
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	DHCR7	0.128	0.154	0.084	0.036	0.072	0.018	0.06	0.122	0.262	0.228	0.32	0.135	0.28	0.206	0.036	0.03	0.118	0.074	0.034	0.016	0.016	0.024	0.038	0.026	0.026	0.07	0.012	0.034
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	DHCR7	0.128	0.154	0.084	0.036	0.072	0.018	0.06	0.122	0.262	0.228	0.32	0.135	0.28	0.206	0.036	0.03	0.118	0.074	0.034	0.016	0.016	0.024	0.038	0.026	0.026	0.07	0.012	0.034
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	PTGR1	0.314	0.35	0.66	0.524	0.628	0.264	0.494	0.946	0.842	0.868	0.772	0.784	0.764	0.616	0.164	0.174	0.05	0.05	0.307	0.378	0.24	0.32	0.396	0.578	0.472	0.542	0.416	0.172
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	PTGR1	0.314	0.35	0.66	0.524	0.628	0.264	0.494	0.946	0.842	0.868	0.772	0.784	0.764	0.616	0.164	0.174	0.05	0.05	0.307	0.378	0.24	0.32	0.396	0.578	0.472	0.542	0.416	0.172
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	DAGLA	0.022	0.01	0.008	0.0	0.004	0.0	0.002	0.011	0.004	0.006	0.018	0.088	0.032	0.018	0.032	0.016	0.0	0.0	0.013	0.058	0.02	0.034	0.008	0.018	0.046	0.052	0.046	0.004
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	DAGLA	0.022	0.01	0.008	0.0	0.004	0.0	0.002	0.011	0.004	0.006	0.018	0.088	0.032	0.018	0.032	0.016	0.0	0.0	0.013	0.058	0.02	0.034	0.008	0.018	0.046	0.052	0.046	0.004
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	DAGLA	0.022	0.01	0.008	0.0	0.004	0.0	0.002	0.011	0.004	0.006	0.018	0.088	0.032	0.018	0.032	0.016	0.0	0.0	0.013	0.058	0.02	0.034	0.008	0.018	0.046	0.052	0.046	0.004
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	DAGLB	0.082	0.072	0.156	0.2	0.208	0.056	0.122	0.136	0.188	0.098	0.154	0.153	0.114	0.168	0.148	0.146	0.056	0.022	0.026	0.05	0.07	0.036	0.018	0.056	0.038	0.048	0.072	0.026
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	DAGLB	0.082	0.072	0.156	0.2	0.208	0.056	0.122	0.136	0.188	0.098	0.154	0.153	0.114	0.168	0.148	0.146	0.056	0.022	0.026	0.05	0.07	0.036	0.018	0.056	0.038	0.048	0.072	0.026
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	DAGLB	0.082	0.072	0.156	0.2	0.208	0.056	0.122	0.136	0.188	0.098	0.154	0.153	0.114	0.168	0.148	0.146	0.056	0.022	0.026	0.05	0.07	0.036	0.018	0.056	0.038	0.048	0.072	0.026
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	DHRS9	0.0	0.0	0.016	0.002	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.003	0.0	0.0	0.036	0.054	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	ALOX5	0.002	0.006	0.034	0.002	0.004	0.0	0.01	0.011	0.002	0.006	0.01	0.062	0.004	0.004	0.204	0.264	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.002	0.002	0.004	0.016	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5	0.002	0.006	0.034	0.002	0.004	0.0	0.01	0.011	0.002	0.006	0.01	0.062	0.004	0.004	0.204	0.264	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.002	0.002	0.004	0.016	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	ALOX5	0.002	0.006	0.034	0.002	0.004	0.0	0.01	0.011	0.002	0.006	0.01	0.062	0.004	0.004	0.204	0.264	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.002	0.002	0.004	0.016	0.0
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5	0.002	0.006	0.034	0.002	0.004	0.0	0.01	0.011	0.002	0.006	0.01	0.062	0.004	0.004	0.204	0.264	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.002	0.002	0.004	0.016	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	LTC4S	0.002	0.006	0.034	0.002	0.004	0.0	0.01	0.011	0.002	0.006	0.01	0.062	0.004	0.004	0.204	0.264	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.002	0.002	0.004	0.016	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	LTC4S	0.002	0.006	0.034	0.002	0.004	0.0	0.01	0.011	0.002	0.006	0.01	0.062	0.004	0.004	0.204	0.264	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.002	0.002	0.004	0.016	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	LTC4S	0.002	0.006	0.034	0.002	0.004	0.0	0.01	0.011	0.002	0.006	0.01	0.062	0.004	0.004	0.204	0.264	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.002	0.002	0.004	0.016	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	LTC4S	0.002	0.006	0.034	0.002	0.004	0.0	0.01	0.011	0.002	0.006	0.01	0.062	0.004	0.004	0.204	0.264	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.002	0.002	0.004	0.016	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	LTC4S	0.348	0.248	0.08	0.084	0.068	0.072	0.05	0.187	0.072	0.1	0.112	0.062	0.146	0.126	0.204	0.436	0.146	0.016	0.047	0.018	0.008	0.006	0.018	0.014	0.006	0.018	0.022	0.014
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS077A507B6	LTC4S	0.348	0.248	0.08	0.084	0.068	0.072	0.05	0.187	0.072	0.1	0.112	0.062	0.146	0.126	0.204	0.436	0.146	0.016	0.047	0.018	0.008	0.006	0.018	0.014	0.006	0.018	0.022	0.014
ALOX5AP	P20292	True	AL5AP_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	ALOX5AP	0.002	0.006	0.034	0.002	0.004	0.0	0.01	0.011	0.002	0.006	0.01	0.062	0.004	0.004	0.204	0.264	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.002	0.002	0.004	0.016	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5AP	0.002	0.006	0.034	0.002	0.004	0.0	0.01	0.011	0.002	0.006	0.01	0.062	0.004	0.004	0.204	0.264	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.002	0.002	0.004	0.016	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	ALOX5AP	0.002	0.006	0.034	0.002	0.004	0.0	0.01	0.011	0.002	0.006	0.01	0.062	0.004	0.004	0.204	0.264	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.002	0.002	0.004	0.016	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5AP	0.002	0.006	0.034	0.002	0.004	0.0	0.01	0.011	0.002	0.006	0.01	0.062	0.004	0.004	0.204	0.264	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.002	0.002	0.004	0.016	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	INHBA	0.002	0.004	0.004	0.006	0.024	0.016	0.018	0.0	0.022	0.004	0.032	0.008	0.004	0.01	0.006	0.0	0.0	0.0	0.029	0.002	0.038	0.008	0.016	0.05	0.03	0.0	0.02	0.008
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	INHBA	0.002	0.004	0.004	0.006	0.024	0.016	0.018	0.0	0.022	0.004	0.032	0.008	0.004	0.01	0.006	0.0	0.0	0.0	0.029	0.002	0.038	0.008	0.016	0.05	0.03	0.0	0.02	0.008
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBA	0.002	0.004	0.004	0.006	0.024	0.016	0.018	0.0	0.022	0.004	0.032	0.008	0.004	0.01	0.006	0.0	0.0	0.0	0.029	0.002	0.038	0.008	0.016	0.05	0.03	0.0	0.02	0.008
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBA	0.002	0.004	0.004	0.006	0.024	0.016	0.018	0.0	0.022	0.004	0.032	0.008	0.004	0.01	0.006	0.0	0.0	0.0	0.029	0.002	0.038	0.008	0.016	0.05	0.03	0.0	0.02	0.008
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	INHBA	0.002	0.004	0.004	0.006	0.024	0.016	0.018	0.0	0.022	0.004	0.032	0.008	0.004	0.01	0.006	0.0	0.0	0.0	0.029	0.002	0.038	0.008	0.016	0.05	0.03	0.0	0.02	0.008
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	INHBA	0.002	0.004	0.004	0.006	0.024	0.016	0.018	0.0	0.022	0.004	0.032	0.008	0.004	0.01	0.006	0.0	0.0	0.0	0.029	0.002	0.038	0.008	0.016	0.05	0.03	0.0	0.02	0.008
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC07611BF54	INHBA	0.0	0.0	0.004	0.004	0.006	0.0	0.008	0.0	0.006	0.004	0.006	0.005	0.004	0.008	0.0	0.0	0.002	0.0	0.0	0.004	0.014	0.0	0.0	0.006	0.004	0.01	0.008	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC07323E253	INHBA	0.0	0.0	0.004	0.004	0.006	0.0	0.008	0.0	0.006	0.004	0.006	0.005	0.004	0.008	0.0	0.0	0.002	0.0	0.0	0.004	0.014	0.0	0.0	0.006	0.004	0.01	0.008	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC04553E312	INHBA	0.0	0.0	0.004	0.004	0.006	0.0	0.008	0.0	0.006	0.004	0.006	0.005	0.004	0.008	0.0	0.0	0.002	0.0	0.0	0.004	0.014	0.0	0.0	0.006	0.004	0.01	0.008	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0FA8B4931	INHBA	0.0	0.0	0.004	0.004	0.006	0.0	0.008	0.0	0.006	0.004	0.006	0.005	0.004	0.008	0.0	0.0	0.002	0.0	0.0	0.004	0.014	0.0	0.0	0.006	0.004	0.01	0.008	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0BDA1C176	INHBA	0.0	0.0	0.004	0.004	0.006	0.0	0.008	0.0	0.006	0.004	0.006	0.005	0.004	0.008	0.0	0.0	0.002	0.0	0.0	0.004	0.014	0.0	0.0	0.006	0.004	0.01	0.008	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0C1E0C4B7	INHBA	0.0	0.0	0.004	0.004	0.006	0.0	0.008	0.0	0.006	0.004	0.006	0.005	0.004	0.008	0.0	0.0	0.002	0.0	0.0	0.004	0.014	0.0	0.0	0.006	0.004	0.01	0.008	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	INHBB	0.002	0.004	0.004	0.006	0.024	0.016	0.018	0.0	0.022	0.004	0.032	0.008	0.004	0.01	0.006	0.0	0.0	0.0	0.029	0.002	0.038	0.008	0.016	0.05	0.03	0.0	0.02	0.008
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	INHBB	0.002	0.004	0.004	0.006	0.024	0.016	0.018	0.0	0.022	0.004	0.032	0.008	0.004	0.01	0.006	0.0	0.0	0.0	0.029	0.002	0.038	0.008	0.016	0.05	0.03	0.0	0.02	0.008
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBB	0.002	0.004	0.004	0.006	0.024	0.016	0.018	0.0	0.022	0.004	0.032	0.008	0.004	0.01	0.006	0.0	0.0	0.0	0.029	0.002	0.038	0.008	0.016	0.05	0.03	0.0	0.02	0.008
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBB	0.002	0.004	0.004	0.006	0.024	0.016	0.018	0.0	0.022	0.004	0.032	0.008	0.004	0.01	0.006	0.0	0.0	0.0	0.029	0.002	0.038	0.008	0.016	0.05	0.03	0.0	0.02	0.008
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	INHBB	0.002	0.004	0.004	0.006	0.024	0.016	0.018	0.0	0.022	0.004	0.032	0.008	0.004	0.01	0.006	0.0	0.0	0.0	0.029	0.002	0.038	0.008	0.016	0.05	0.03	0.0	0.02	0.008
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	INHBB	0.002	0.004	0.004	0.006	0.024	0.016	0.018	0.0	0.022	0.004	0.032	0.008	0.004	0.01	0.006	0.0	0.0	0.0	0.029	0.002	0.038	0.008	0.016	0.05	0.03	0.0	0.02	0.008
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0AD71E0D3	INHBB	0.0	0.0	0.012	0.004	0.006	0.0	0.008	0.008	0.006	0.008	0.006	0.005	0.008	0.008	0.0	0.0	0.0	0.0	0.0	0.002	0.014	0.0	0.0	0.006	0.004	0.0	0.008	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0300AB2DF	INHBB	0.0	0.0	0.012	0.004	0.006	0.0	0.008	0.008	0.006	0.008	0.006	0.005	0.008	0.008	0.0	0.0	0.0	0.0	0.0	0.002	0.014	0.0	0.0	0.006	0.004	0.0	0.008	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC057B323A5	INHBB	0.0	0.0	0.012	0.004	0.006	0.0	0.008	0.008	0.006	0.008	0.006	0.005	0.008	0.008	0.0	0.0	0.0	0.0	0.0	0.002	0.014	0.0	0.0	0.006	0.004	0.0	0.008	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC02D192370	INHBB	0.0	0.0	0.012	0.004	0.006	0.0	0.008	0.008	0.006	0.008	0.006	0.005	0.008	0.008	0.0	0.0	0.0	0.0	0.0	0.002	0.014	0.0	0.0	0.006	0.004	0.0	0.008	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC08375F742	INHBB	0.0	0.0	0.012	0.004	0.006	0.0	0.008	0.008	0.006	0.008	0.006	0.005	0.008	0.008	0.0	0.0	0.0	0.0	0.0	0.002	0.014	0.0	0.0	0.006	0.004	0.0	0.008	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0E62974F4	INHBB	0.0	0.0	0.012	0.004	0.006	0.0	0.008	0.008	0.006	0.008	0.006	0.005	0.008	0.008	0.0	0.0	0.0	0.0	0.0	0.002	0.014	0.0	0.0	0.006	0.004	0.0	0.008	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC07611BF54	INHA	0.0	0.0	0.004	0.004	0.006	0.0	0.008	0.0	0.006	0.004	0.006	0.005	0.004	0.008	0.0	0.0	0.002	0.0	0.0	0.004	0.014	0.0	0.0	0.006	0.004	0.01	0.008	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC07323E253	INHA	0.0	0.0	0.004	0.004	0.006	0.0	0.008	0.0	0.006	0.004	0.006	0.005	0.004	0.008	0.0	0.0	0.002	0.0	0.0	0.004	0.014	0.0	0.0	0.006	0.004	0.01	0.008	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC04553E312	INHA	0.0	0.0	0.004	0.004	0.006	0.0	0.008	0.0	0.006	0.004	0.006	0.005	0.004	0.008	0.0	0.0	0.002	0.0	0.0	0.004	0.014	0.0	0.0	0.006	0.004	0.01	0.008	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0FA8B4931	INHA	0.0	0.0	0.004	0.004	0.006	0.0	0.008	0.0	0.006	0.004	0.006	0.005	0.004	0.008	0.0	0.0	0.002	0.0	0.0	0.004	0.014	0.0	0.0	0.006	0.004	0.01	0.008	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0BDA1C176	INHA	0.0	0.0	0.004	0.004	0.006	0.0	0.008	0.0	0.006	0.004	0.006	0.005	0.004	0.008	0.0	0.0	0.002	0.0	0.0	0.004	0.014	0.0	0.0	0.006	0.004	0.01	0.008	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0C1E0C4B7	INHA	0.0	0.0	0.004	0.004	0.006	0.0	0.008	0.0	0.006	0.004	0.006	0.005	0.004	0.008	0.0	0.0	0.002	0.0	0.0	0.004	0.014	0.0	0.0	0.006	0.004	0.01	0.008	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0AD71E0D3	INHA	0.0	0.0	0.012	0.004	0.006	0.0	0.008	0.008	0.006	0.008	0.006	0.005	0.008	0.008	0.0	0.0	0.0	0.0	0.0	0.002	0.014	0.0	0.0	0.006	0.004	0.0	0.008	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0300AB2DF	INHA	0.0	0.0	0.012	0.004	0.006	0.0	0.008	0.008	0.006	0.008	0.006	0.005	0.008	0.008	0.0	0.0	0.0	0.0	0.0	0.002	0.014	0.0	0.0	0.006	0.004	0.0	0.008	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC057B323A5	INHA	0.0	0.0	0.012	0.004	0.006	0.0	0.008	0.008	0.006	0.008	0.006	0.005	0.008	0.008	0.0	0.0	0.0	0.0	0.0	0.002	0.014	0.0	0.0	0.006	0.004	0.0	0.008	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC02D192370	INHA	0.0	0.0	0.012	0.004	0.006	0.0	0.008	0.008	0.006	0.008	0.006	0.005	0.008	0.008	0.0	0.0	0.0	0.0	0.0	0.002	0.014	0.0	0.0	0.006	0.004	0.0	0.008	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC08375F742	INHA	0.0	0.0	0.012	0.004	0.006	0.0	0.008	0.008	0.006	0.008	0.006	0.005	0.008	0.008	0.0	0.0	0.0	0.0	0.0	0.002	0.014	0.0	0.0	0.006	0.004	0.0	0.008	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0E62974F4	INHA	0.0	0.0	0.012	0.004	0.006	0.0	0.008	0.008	0.006	0.008	0.006	0.005	0.008	0.008	0.0	0.0	0.0	0.0	0.0	0.002	0.014	0.0	0.0	0.006	0.004	0.0	0.008	0.0
CYP17A1	P05093	True	CP17A_HUMAN	Androstenedione_byCYP17A1	CPI-CS0D5502736	CYP17A1	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.002	0.0	0.0	0.002	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0010C54C6	ALDH1A1	0.24	0.34	0.078	0.02	0.082	0.178	0.026	0.38	0.178	0.16	0.072	0.153	0.33	0.042	0.158	0.364	0.042	0.042	0.674	0.664	0.594	0.674	0.29	0.132	0.412	0.904	0.8	0.12
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC048F01E8D	ALDH1A1	0.24	0.34	0.078	0.02	0.082	0.178	0.026	0.38	0.178	0.16	0.072	0.153	0.33	0.042	0.158	0.364	0.042	0.042	0.674	0.664	0.594	0.674	0.29	0.132	0.412	0.904	0.8	0.12
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC06F5021B7	ALDH1A1	0.24	0.34	0.078	0.02	0.082	0.178	0.026	0.38	0.178	0.16	0.072	0.153	0.33	0.042	0.158	0.364	0.042	0.042	0.674	0.664	0.594	0.674	0.29	0.132	0.412	0.904	0.8	0.12
