gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	endo.Arterial	endo.Venous	epi.Ciliated	epi.Glandular	epi.Glandular_secretory	epi.Glandular_secretory_FGF7	epi.Luminal	epi.SOX9_basalis	epi.SOX9_functionalis_I	epi.SOX9_functionalis_II	epi.SOX9_luminal	epi.preCiliated	epi.preGlandular	epi.preLuminal	immune.eM1	immune.eM2	immune.uNK1	immune.uNK3	mes.Fibroblast_basalis	mes.dStromal_early	mes.dStromal_late	mes.dStromal_mid	mes.ePV_1a	mes.ePV_1b	mes.ePV_2	mes.eStromal	mes.eStromal_MMPs	mes.uSMCs
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	DAGLA	0.021	0.002	0.005	0.0	0.002	0.0	0.002	0.004	0.001	0.001	0.006	0.023	0.013	0.01	0.027	0.023	0.0	0.0	0.018	0.066	0.021	0.044	0.011	0.009	0.055	0.038	0.04	0.009
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	DAGLA	0.021	0.002	0.005	0.0	0.002	0.0	0.002	0.004	0.001	0.001	0.006	0.023	0.013	0.01	0.027	0.023	0.0	0.0	0.018	0.066	0.021	0.044	0.011	0.009	0.055	0.038	0.04	0.009
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	DAGLA	0.021	0.002	0.005	0.0	0.002	0.0	0.002	0.004	0.001	0.001	0.006	0.023	0.013	0.01	0.027	0.023	0.0	0.0	0.018	0.066	0.021	0.044	0.011	0.009	0.055	0.038	0.04	0.009
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	DAGLB	0.096	0.07	0.15	0.255	0.161	0.09	0.134	0.056	0.104	0.039	0.074	0.057	0.068	0.125	0.162	0.213	0.065	0.053	0.047	0.056	0.071	0.041	0.033	0.056	0.031	0.046	0.071	0.057
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	DAGLB	0.096	0.07	0.15	0.255	0.161	0.09	0.134	0.056	0.104	0.039	0.074	0.057	0.068	0.125	0.162	0.213	0.065	0.053	0.047	0.056	0.071	0.041	0.033	0.056	0.031	0.046	0.071	0.057
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	DAGLB	0.096	0.07	0.15	0.255	0.161	0.09	0.134	0.056	0.104	0.039	0.074	0.057	0.068	0.125	0.162	0.213	0.065	0.053	0.047	0.056	0.071	0.041	0.033	0.056	0.031	0.046	0.071	0.057
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	DHRS9	0.0	0.0	0.014	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.049	0.108	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	ALOX5	0.003	0.002	0.025	0.004	0.003	0.0	0.007	0.012	0.002	0.005	0.005	0.014	0.002	0.003	0.284	0.406	0.0	0.005	0.0	0.001	0.0	0.0	0.0	0.001	0.002	0.002	0.014	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5	0.003	0.002	0.025	0.004	0.003	0.0	0.007	0.012	0.002	0.005	0.005	0.014	0.002	0.003	0.284	0.406	0.0	0.005	0.0	0.001	0.0	0.0	0.0	0.001	0.002	0.002	0.014	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	ALOX5	0.003	0.002	0.025	0.004	0.003	0.0	0.007	0.012	0.002	0.005	0.005	0.014	0.002	0.003	0.284	0.406	0.0	0.005	0.0	0.001	0.0	0.0	0.0	0.001	0.002	0.002	0.014	0.0
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5	0.003	0.002	0.025	0.004	0.003	0.0	0.007	0.012	0.002	0.005	0.005	0.014	0.002	0.003	0.284	0.406	0.0	0.005	0.0	0.001	0.0	0.0	0.0	0.001	0.002	0.002	0.014	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	LTC4S	0.003	0.002	0.025	0.004	0.003	0.0	0.007	0.012	0.002	0.005	0.005	0.014	0.002	0.003	0.284	0.406	0.0	0.005	0.0	0.001	0.0	0.0	0.0	0.001	0.002	0.002	0.014	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	LTC4S	0.003	0.002	0.025	0.004	0.003	0.0	0.007	0.012	0.002	0.005	0.005	0.014	0.002	0.003	0.284	0.406	0.0	0.005	0.0	0.001	0.0	0.0	0.0	0.001	0.002	0.002	0.014	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	LTC4S	0.003	0.002	0.025	0.004	0.003	0.0	0.007	0.012	0.002	0.005	0.005	0.014	0.002	0.003	0.284	0.406	0.0	0.005	0.0	0.001	0.0	0.0	0.0	0.001	0.002	0.002	0.014	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	LTC4S	0.003	0.002	0.025	0.004	0.003	0.0	0.007	0.012	0.002	0.005	0.005	0.014	0.002	0.003	0.284	0.406	0.0	0.005	0.0	0.001	0.0	0.0	0.0	0.001	0.002	0.002	0.014	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	LTC4S	0.722	0.398	0.053	0.075	0.039	0.112	0.056	0.08	0.033	0.041	0.043	0.014	0.07	0.081	0.284	0.988	0.222	0.049	0.117	0.024	0.009	0.01	0.027	0.008	0.005	0.014	0.016	0.039
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS077A507B6	LTC4S	0.722	0.398	0.053	0.075	0.039	0.112	0.056	0.08	0.033	0.041	0.043	0.014	0.07	0.081	0.284	0.988	0.222	0.049	0.117	0.024	0.009	0.01	0.027	0.008	0.005	0.014	0.016	0.039
ALOX5AP	P20292	True	AL5AP_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	ALOX5AP	0.003	0.002	0.025	0.004	0.003	0.0	0.007	0.012	0.002	0.005	0.005	0.014	0.002	0.003	0.284	0.406	0.0	0.005	0.0	0.001	0.0	0.0	0.0	0.001	0.002	0.002	0.014	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5AP	0.003	0.002	0.025	0.004	0.003	0.0	0.007	0.012	0.002	0.005	0.005	0.014	0.002	0.003	0.284	0.406	0.0	0.005	0.0	0.001	0.0	0.0	0.0	0.001	0.002	0.002	0.014	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	ALOX5AP	0.003	0.002	0.025	0.004	0.003	0.0	0.007	0.012	0.002	0.005	0.005	0.014	0.002	0.003	0.284	0.406	0.0	0.005	0.0	0.001	0.0	0.0	0.0	0.001	0.002	0.002	0.014	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5AP	0.003	0.002	0.025	0.004	0.003	0.0	0.007	0.012	0.002	0.005	0.005	0.014	0.002	0.003	0.284	0.406	0.0	0.005	0.0	0.001	0.0	0.0	0.0	0.001	0.002	0.002	0.014	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	INHBA	0.004	0.003	0.001	0.005	0.024	0.031	0.024	0.0	0.014	0.001	0.024	0.003	0.002	0.006	0.009	0.0	0.0	0.0	0.056	0.002	0.043	0.013	0.026	0.061	0.041	0.0	0.025	0.019
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	INHBA	0.004	0.003	0.001	0.005	0.024	0.031	0.024	0.0	0.014	0.001	0.024	0.003	0.002	0.006	0.009	0.0	0.0	0.0	0.056	0.002	0.043	0.013	0.026	0.061	0.041	0.0	0.025	0.019
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBA	0.004	0.003	0.001	0.005	0.024	0.031	0.024	0.0	0.014	0.001	0.024	0.003	0.002	0.006	0.009	0.0	0.0	0.0	0.056	0.002	0.043	0.013	0.026	0.061	0.041	0.0	0.025	0.019
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBA	0.004	0.003	0.001	0.005	0.024	0.031	0.024	0.0	0.014	0.001	0.024	0.003	0.002	0.006	0.009	0.0	0.0	0.0	0.056	0.002	0.043	0.013	0.026	0.061	0.041	0.0	0.025	0.019
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	INHBA	0.004	0.003	0.001	0.005	0.024	0.031	0.024	0.0	0.014	0.001	0.024	0.003	0.002	0.006	0.009	0.0	0.0	0.0	0.056	0.002	0.043	0.013	0.026	0.061	0.041	0.0	0.025	0.019
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	INHBA	0.004	0.003	0.001	0.005	0.024	0.031	0.024	0.0	0.014	0.001	0.024	0.003	0.002	0.006	0.009	0.0	0.0	0.0	0.056	0.002	0.043	0.013	0.026	0.061	0.041	0.0	0.025	0.019
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC07611BF54	INHBA	0.0	0.0	0.001	0.004	0.004	0.0	0.011	0.0	0.002	0.001	0.001	0.001	0.002	0.006	0.0	0.0	0.003	0.0	0.0	0.003	0.013	0.0	0.0	0.008	0.004	0.009	0.006	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC07323E253	INHBA	0.0	0.0	0.001	0.004	0.004	0.0	0.011	0.0	0.002	0.001	0.001	0.001	0.002	0.006	0.0	0.0	0.003	0.0	0.0	0.003	0.013	0.0	0.0	0.008	0.004	0.009	0.006	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC04553E312	INHBA	0.0	0.0	0.001	0.004	0.004	0.0	0.011	0.0	0.002	0.001	0.001	0.001	0.002	0.006	0.0	0.0	0.003	0.0	0.0	0.003	0.013	0.0	0.0	0.008	0.004	0.009	0.006	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0FA8B4931	INHBA	0.0	0.0	0.001	0.004	0.004	0.0	0.011	0.0	0.002	0.001	0.001	0.001	0.002	0.006	0.0	0.0	0.003	0.0	0.0	0.003	0.013	0.0	0.0	0.008	0.004	0.009	0.006	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0BDA1C176	INHBA	0.0	0.0	0.001	0.004	0.004	0.0	0.011	0.0	0.002	0.001	0.001	0.001	0.002	0.006	0.0	0.0	0.003	0.0	0.0	0.003	0.013	0.0	0.0	0.008	0.004	0.009	0.006	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0C1E0C4B7	INHBA	0.0	0.0	0.001	0.004	0.004	0.0	0.011	0.0	0.002	0.001	0.001	0.001	0.002	0.006	0.0	0.0	0.003	0.0	0.0	0.003	0.013	0.0	0.0	0.008	0.004	0.009	0.006	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	INHBB	0.004	0.003	0.001	0.005	0.024	0.031	0.024	0.0	0.014	0.001	0.024	0.003	0.002	0.006	0.009	0.0	0.0	0.0	0.056	0.002	0.043	0.013	0.026	0.061	0.041	0.0	0.025	0.019
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	INHBB	0.004	0.003	0.001	0.005	0.024	0.031	0.024	0.0	0.014	0.001	0.024	0.003	0.002	0.006	0.009	0.0	0.0	0.0	0.056	0.002	0.043	0.013	0.026	0.061	0.041	0.0	0.025	0.019
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBB	0.004	0.003	0.001	0.005	0.024	0.031	0.024	0.0	0.014	0.001	0.024	0.003	0.002	0.006	0.009	0.0	0.0	0.0	0.056	0.002	0.043	0.013	0.026	0.061	0.041	0.0	0.025	0.019
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBB	0.004	0.003	0.001	0.005	0.024	0.031	0.024	0.0	0.014	0.001	0.024	0.003	0.002	0.006	0.009	0.0	0.0	0.0	0.056	0.002	0.043	0.013	0.026	0.061	0.041	0.0	0.025	0.019
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	INHBB	0.004	0.003	0.001	0.005	0.024	0.031	0.024	0.0	0.014	0.001	0.024	0.003	0.002	0.006	0.009	0.0	0.0	0.0	0.056	0.002	0.043	0.013	0.026	0.061	0.041	0.0	0.025	0.019
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	INHBB	0.004	0.003	0.001	0.005	0.024	0.031	0.024	0.0	0.014	0.001	0.024	0.003	0.002	0.006	0.009	0.0	0.0	0.0	0.056	0.002	0.043	0.013	0.026	0.061	0.041	0.0	0.025	0.019
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0AD71E0D3	INHBB	0.0	0.0	0.006	0.004	0.004	0.0	0.011	0.003	0.002	0.003	0.001	0.001	0.002	0.006	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.0	0.0	0.008	0.004	0.0	0.006	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0300AB2DF	INHBB	0.0	0.0	0.006	0.004	0.004	0.0	0.011	0.003	0.002	0.003	0.001	0.001	0.002	0.006	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.0	0.0	0.008	0.004	0.0	0.006	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC057B323A5	INHBB	0.0	0.0	0.006	0.004	0.004	0.0	0.011	0.003	0.002	0.003	0.001	0.001	0.002	0.006	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.0	0.0	0.008	0.004	0.0	0.006	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC02D192370	INHBB	0.0	0.0	0.006	0.004	0.004	0.0	0.011	0.003	0.002	0.003	0.001	0.001	0.002	0.006	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.0	0.0	0.008	0.004	0.0	0.006	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC08375F742	INHBB	0.0	0.0	0.006	0.004	0.004	0.0	0.011	0.003	0.002	0.003	0.001	0.001	0.002	0.006	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.0	0.0	0.008	0.004	0.0	0.006	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0E62974F4	INHBB	0.0	0.0	0.006	0.004	0.004	0.0	0.011	0.003	0.002	0.003	0.001	0.001	0.002	0.006	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.0	0.0	0.008	0.004	0.0	0.006	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC07611BF54	INHA	0.0	0.0	0.001	0.004	0.004	0.0	0.011	0.0	0.002	0.001	0.001	0.001	0.002	0.006	0.0	0.0	0.003	0.0	0.0	0.003	0.013	0.0	0.0	0.008	0.004	0.009	0.006	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC07323E253	INHA	0.0	0.0	0.001	0.004	0.004	0.0	0.011	0.0	0.002	0.001	0.001	0.001	0.002	0.006	0.0	0.0	0.003	0.0	0.0	0.003	0.013	0.0	0.0	0.008	0.004	0.009	0.006	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC04553E312	INHA	0.0	0.0	0.001	0.004	0.004	0.0	0.011	0.0	0.002	0.001	0.001	0.001	0.002	0.006	0.0	0.0	0.003	0.0	0.0	0.003	0.013	0.0	0.0	0.008	0.004	0.009	0.006	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0FA8B4931	INHA	0.0	0.0	0.001	0.004	0.004	0.0	0.011	0.0	0.002	0.001	0.001	0.001	0.002	0.006	0.0	0.0	0.003	0.0	0.0	0.003	0.013	0.0	0.0	0.008	0.004	0.009	0.006	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0BDA1C176	INHA	0.0	0.0	0.001	0.004	0.004	0.0	0.011	0.0	0.002	0.001	0.001	0.001	0.002	0.006	0.0	0.0	0.003	0.0	0.0	0.003	0.013	0.0	0.0	0.008	0.004	0.009	0.006	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0C1E0C4B7	INHA	0.0	0.0	0.001	0.004	0.004	0.0	0.011	0.0	0.002	0.001	0.001	0.001	0.002	0.006	0.0	0.0	0.003	0.0	0.0	0.003	0.013	0.0	0.0	0.008	0.004	0.009	0.006	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0AD71E0D3	INHA	0.0	0.0	0.006	0.004	0.004	0.0	0.011	0.003	0.002	0.003	0.001	0.001	0.002	0.006	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.0	0.0	0.008	0.004	0.0	0.006	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0300AB2DF	INHA	0.0	0.0	0.006	0.004	0.004	0.0	0.011	0.003	0.002	0.003	0.001	0.001	0.002	0.006	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.0	0.0	0.008	0.004	0.0	0.006	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC057B323A5	INHA	0.0	0.0	0.006	0.004	0.004	0.0	0.011	0.003	0.002	0.003	0.001	0.001	0.002	0.006	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.0	0.0	0.008	0.004	0.0	0.006	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC02D192370	INHA	0.0	0.0	0.006	0.004	0.004	0.0	0.011	0.003	0.002	0.003	0.001	0.001	0.002	0.006	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.0	0.0	0.008	0.004	0.0	0.006	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC08375F742	INHA	0.0	0.0	0.006	0.004	0.004	0.0	0.011	0.003	0.002	0.003	0.001	0.001	0.002	0.006	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.0	0.0	0.008	0.004	0.0	0.006	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0E62974F4	INHA	0.0	0.0	0.006	0.004	0.004	0.0	0.011	0.003	0.002	0.003	0.001	0.001	0.002	0.006	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.0	0.0	0.008	0.004	0.0	0.006	0.0
CYP17A1	P05093	True	CP17A_HUMAN	Androstenedione_byCYP17A1	CPI-CS0D5502736	CYP17A1	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.001	0.0	0.006	0.0	0.0	0.0	0.002	0.0	0.001	0.0	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0010C54C6	ALDH1A1	0.365	0.601	0.063	0.032	0.103	0.409	0.027	0.366	0.124	0.112	0.038	0.067	0.417	0.036	0.221	0.921	0.074	0.145	2.689	2.051	1.384	1.736	0.682	0.211	0.898	5.041	3.487	0.293
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC048F01E8D	ALDH1A1	0.365	0.601	0.063	0.032	0.103	0.409	0.027	0.366	0.124	0.112	0.038	0.067	0.417	0.036	0.221	0.921	0.074	0.145	2.689	2.051	1.384	1.736	0.682	0.211	0.898	5.041	3.487	0.293
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC06F5021B7	ALDH1A1	0.365	0.601	0.063	0.032	0.103	0.409	0.027	0.366	0.124	0.112	0.038	0.067	0.417	0.036	0.221	0.921	0.074	0.145	2.689	2.051	1.384	1.736	0.682	0.211	0.898	5.041	3.487	0.293
